12:31:02.929 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:31:02.929 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:34:55.531 [ApplicationImpl pooled thread 743] INFO  c.b.l.BrowserStackRunExtension - testng
12:34:55.532 [ApplicationImpl pooled thread 743] INFO  com.browserstack.utils.Helpers - null
12:34:55.537 [ApplicationImpl pooled thread 743] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:35:50.914 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - testng
12:35:50.914 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:35:50.914 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:36:26.993 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - testng
12:36:26.993 [ApplicationImpl pooled thread 672] INFO  com.browserstack.utils.Helpers - null
12:36:26.994 [ApplicationImpl pooled thread 672] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:04.013 [ApplicationImpl pooled thread 751] INFO  c.b.l.BrowserStackRunExtension - testng
12:38:04.013 [ApplicationImpl pooled thread 751] INFO  com.browserstack.utils.Helpers - null
12:38:04.014 [ApplicationImpl pooled thread 751] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:19.978 [ApplicationImpl pooled thread 750] INFO  c.b.l.BrowserStackRunExtension - testng
12:38:19.979 [ApplicationImpl pooled thread 750] INFO  com.browserstack.utils.Helpers - null
12:38:19.979 [ApplicationImpl pooled thread 750] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:41:58.698 [ApplicationImpl pooled thread 750] INFO  c.b.l.BrowserStackRunExtension - testng
12:41:58.698 [ApplicationImpl pooled thread 750] INFO  com.browserstack.utils.Helpers - null
12:41:58.699 [ApplicationImpl pooled thread 750] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:42:54.660 [ApplicationImpl pooled thread 753] INFO  c.b.l.BrowserStackRunExtension - testng
12:42:54.660 [ApplicationImpl pooled thread 753] INFO  com.browserstack.utils.Helpers - null
12:42:54.661 [ApplicationImpl pooled thread 753] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:46:37.782 [ApplicationImpl pooled thread 753] INFO  c.b.l.BrowserStackRunExtension - testng
12:46:37.782 [ApplicationImpl pooled thread 753] INFO  com.browserstack.utils.Helpers - null
12:46:37.782 [ApplicationImpl pooled thread 753] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:47:32.116 [ApplicationImpl pooled thread 752] INFO  c.b.l.BrowserStackRunExtension - testng
12:47:32.117 [ApplicationImpl pooled thread 752] INFO  com.browserstack.utils.Helpers - null
12:47:32.119 [ApplicationImpl pooled thread 752] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:48:58.140 [ApplicationImpl pooled thread 753] INFO  c.b.l.BrowserStackRunExtension - testng
12:48:58.140 [ApplicationImpl pooled thread 753] INFO  com.browserstack.utils.Helpers - null
12:48:58.140 [ApplicationImpl pooled thread 753] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:57:56.512 [ApplicationImpl pooled thread 776] INFO  c.b.l.BrowserStackRunExtension - testng
12:57:56.513 [ApplicationImpl pooled thread 776] INFO  com.browserstack.utils.Helpers - null
12:57:56.514 [ApplicationImpl pooled thread 776] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:59:56.068 [ApplicationImpl pooled thread 752] INFO  c.b.l.BrowserStackRunExtension - testng
12:59:56.068 [ApplicationImpl pooled thread 752] INFO  com.browserstack.utils.Helpers - null
12:59:56.070 [ApplicationImpl pooled thread 752] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:00:46.567 [ApplicationImpl pooled thread 752] INFO  c.b.l.BrowserStackRunExtension - testng
13:00:46.568 [ApplicationImpl pooled thread 752] INFO  com.browserstack.utils.Helpers - null
13:00:46.568 [ApplicationImpl pooled thread 752] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:44:36.314 [ApplicationImpl pooled thread 801] INFO  c.b.l.BrowserStackRunExtension - testng
13:44:36.314 [ApplicationImpl pooled thread 801] INFO  com.browserstack.utils.Helpers - null
13:44:36.315 [ApplicationImpl pooled thread 801] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:09.622 [ApplicationImpl pooled thread 802] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:09.622 [ApplicationImpl pooled thread 802] INFO  com.browserstack.utils.Helpers - null
13:45:09.622 [ApplicationImpl pooled thread 802] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:43.850 [ApplicationImpl pooled thread 802] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:43.850 [ApplicationImpl pooled thread 802] INFO  com.browserstack.utils.Helpers - null
13:45:43.852 [ApplicationImpl pooled thread 802] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:05:58.372 [ApplicationImpl pooled thread 805] INFO  c.b.l.BrowserStackRunExtension - testng
14:05:58.372 [ApplicationImpl pooled thread 805] INFO  com.browserstack.utils.Helpers - null
14:05:58.373 [ApplicationImpl pooled thread 805] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:07:28.547 [ApplicationImpl pooled thread 805] INFO  c.b.l.BrowserStackRunExtension - testng
14:07:28.547 [ApplicationImpl pooled thread 805] INFO  com.browserstack.utils.Helpers - null
14:07:28.549 [ApplicationImpl pooled thread 805] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:10:55.639 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - testng
14:10:55.639 [ApplicationImpl pooled thread 828] INFO  com.browserstack.utils.Helpers - null
14:10:55.639 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:12:44.306 [ApplicationImpl pooled thread 830] INFO  c.b.l.BrowserStackRunExtension - testng
14:12:44.307 [ApplicationImpl pooled thread 830] INFO  com.browserstack.utils.Helpers - null
14:12:44.309 [ApplicationImpl pooled thread 830] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:19:13.168 [ApplicationImpl pooled thread 827] INFO  c.b.l.BrowserStackRunExtension - testng
14:19:13.170 [ApplicationImpl pooled thread 827] INFO  com.browserstack.utils.Helpers - null
14:19:13.173 [ApplicationImpl pooled thread 827] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:22:47.825 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - testng
14:22:47.826 [ApplicationImpl pooled thread 828] INFO  com.browserstack.utils.Helpers - null
14:22:47.827 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:24:45.028 [ApplicationImpl pooled thread 841] INFO  c.b.l.BrowserStackRunExtension - testng
14:24:45.028 [ApplicationImpl pooled thread 841] INFO  com.browserstack.utils.Helpers - null
14:24:45.031 [ApplicationImpl pooled thread 841] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:26:36.162 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - testng
14:26:36.162 [ApplicationImpl pooled thread 828] INFO  com.browserstack.utils.Helpers - null
14:26:36.163 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:27:10.994 [ApplicationImpl pooled thread 844] INFO  c.b.l.BrowserStackRunExtension - testng
14:27:10.994 [ApplicationImpl pooled thread 844] INFO  com.browserstack.utils.Helpers - null
14:27:10.995 [ApplicationImpl pooled thread 844] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:28:13.480 [ApplicationImpl pooled thread 827] INFO  c.b.l.BrowserStackRunExtension - testng
14:28:13.481 [ApplicationImpl pooled thread 827] INFO  com.browserstack.utils.Helpers - null
14:28:13.483 [ApplicationImpl pooled thread 827] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:30:45.203 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - testng
14:30:45.203 [ApplicationImpl pooled thread 828] INFO  com.browserstack.utils.Helpers - null
14:30:45.206 [ApplicationImpl pooled thread 828] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:33:17.402 [ApplicationImpl pooled thread 858] INFO  c.b.l.BrowserStackRunExtension - testng
14:33:17.402 [ApplicationImpl pooled thread 858] INFO  com.browserstack.utils.Helpers - null
14:33:17.403 [ApplicationImpl pooled thread 858] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:35:15.167 [ApplicationImpl pooled thread 861] INFO  c.b.l.BrowserStackRunExtension - testng
14:35:15.167 [ApplicationImpl pooled thread 861] INFO  com.browserstack.utils.Helpers - null
14:35:15.167 [ApplicationImpl pooled thread 861] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:40:34.329 [ApplicationImpl pooled thread 859] INFO  c.b.l.BrowserStackRunExtension - testng
14:40:34.329 [ApplicationImpl pooled thread 859] INFO  com.browserstack.utils.Helpers - null
14:40:34.330 [ApplicationImpl pooled thread 859] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:44:06.679 [ApplicationImpl pooled thread 862] INFO  c.b.l.BrowserStackRunExtension - testng
14:44:06.679 [ApplicationImpl pooled thread 862] INFO  com.browserstack.utils.Helpers - null
14:44:06.679 [ApplicationImpl pooled thread 862] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:49:09.256 [ApplicationImpl pooled thread 859] INFO  c.b.l.BrowserStackRunExtension - testng
14:49:09.256 [ApplicationImpl pooled thread 859] INFO  com.browserstack.utils.Helpers - null
14:49:09.262 [ApplicationImpl pooled thread 859] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:54:20.604 [ApplicationImpl pooled thread 887] INFO  c.b.l.BrowserStackRunExtension - testng
14:54:20.604 [ApplicationImpl pooled thread 887] INFO  com.browserstack.utils.Helpers - null
14:54:20.605 [ApplicationImpl pooled thread 887] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:59:21.305 [ApplicationImpl pooled thread 892] INFO  c.b.l.BrowserStackRunExtension - testng
14:59:21.305 [ApplicationImpl pooled thread 892] INFO  com.browserstack.utils.Helpers - null
14:59:21.305 [ApplicationImpl pooled thread 892] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:07:47.349 [ApplicationImpl pooled thread 895] INFO  c.b.l.BrowserStackRunExtension - testng
15:07:47.349 [ApplicationImpl pooled thread 895] INFO  com.browserstack.utils.Helpers - null
15:07:47.350 [ApplicationImpl pooled thread 895] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:15:04.604 [ApplicationImpl pooled thread 895] INFO  c.b.l.BrowserStackRunExtension - testng
15:15:04.612 [ApplicationImpl pooled thread 895] INFO  com.browserstack.utils.Helpers - null
15:15:04.634 [ApplicationImpl pooled thread 895] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:23:10.427 [ApplicationImpl pooled thread 921] INFO  c.b.l.BrowserStackRunExtension - testng
15:23:10.427 [ApplicationImpl pooled thread 921] INFO  com.browserstack.utils.Helpers - null
15:23:10.428 [ApplicationImpl pooled thread 921] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
